epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3191.75,0.03684,0.13436,0.88833,0.97427,0.97864,0.99196,0.99155,0.13218,0.2983,0.16064,0.000462281,0.000462281,0.000462281
43,3270.38,0.03567,0.13077,0.88962,0.98212,0.97247,0.99148,0.99109,0.1848,0.33832,0.23443,0.000438703,0.000438703,0.000438703
44,3345.3,0.03423,0.12874,0.89013,0.98747,0.97827,0.99224,0.98921,0.19138,0.29528,0.21862,0.000415124,0.000415124,0.000415124
45,3417.32,0.03443,0.12355,0.88368,0.97624,0.97045,0.99165,0.97778,0.2227,0.36181,0.24554,0.000391546,0.000391546,0.000391546
46,3493.34,0.03278,0.13023,0.8842,0.98126,0.96882,0.98887,0.98413,0.15504,0.31929,0.19444,0.000367967,0.000367967,0.000367967
47,3567.73,0.03242,0.12564,0.88707,0.9902,0.97814,0.99295,0.9911,0.189,0.33875,0.22133,0.000344389,0.000344389,0.000344389
48,3646.68,inf,0.1219,0.8854,0.98683,0.98605,0.99286,0.99265,0.17719,0.27514,0.22161,0.00032081,0.00032081,0.00032081
49,3723.62,0.03131,0.12494,0.88895,0.98452,0.9827,0.99228,0.99187,0.18351,0.30534,0.22449,0.000297232,0.000297232,0.000297232
50,3799.68,0.02907,0.11473,0.88714,0.99293,0.98024,0.99195,0.98638,0.1314,0.23411,0.15058,0.000273654,0.000273654,0.000273654
51,3892.5,0.03177,0.11257,0.90458,0.96545,0.99008,0.99093,0.99093,0.12123,0.23583,0.15936,0.000250075,0.000250075,0.000250075
52,3964.57,0.02399,0.0574,0.90277,0.98639,0.974,0.99289,0.99289,0.17379,0.30995,0.21563,0.000226497,0.000226497,0.000226497
53,4036.29,0.02331,0.05301,0.90227,0.98752,0.98096,0.99038,0.99038,0.16669,0.31553,0.20742,0.000202918,0.000202918,0.000202918
54,4110.87,0.02155,0.04545,0.90088,0.99341,0.9832,0.99405,0.99405,0.17625,0.30176,0.22162,0.00017934,0.00017934,0.00017934
55,4187.21,0.01868,0.03592,0.89811,0.98601,0.98076,0.99329,0.99329,0.16224,0.33174,0.20931,0.000155761,0.000155761,0.000155761
56,4260.82,0.01706,0.03777,0.89729,0.99232,0.97975,0.99297,0.99295,0.16127,0.32848,0.2047,0.000132183,0.000132183,0.000132183
57,4332.15,0.0168,0.03177,0.89834,0.99411,0.98246,0.99332,0.99332,0.16194,0.32226,0.21012,0.000108604,0.000108604,0.000108604
58,4403.68,inf,0.02842,0.89728,0.99545,0.98028,0.99248,0.99248,0.16035,0.33065,0.20823,8.50255e-05,8.50255e-05,8.50255e-05
59,4476.16,inf,0.02902,0.89659,0.9855,0.9755,0.99202,0.99202,0.15484,0.34253,0.20152,6.1447e-05,6.1447e-05,6.1447e-05
60,4548.1,0.01331,0.02549,0.89585,0.99391,0.97674,0.9905,0.99046,0.15562,0.34252,0.19851,3.78685e-05,3.78685e-05,3.78685e-05
